x,y,speed
-32.925343,-8.767341,33.33333
-32.90157437518759,-8.760952014507254,33.33333
-32.87780575037519,-8.754563029014507,33.33333
-32.854037125562776,-8.748174043521761,33.33333
-32.83026850075037,-8.741785058029015,33.33333
-32.806499875937966,-8.735396072536268,33.33333
-32.78273125112556,-8.729007087043522,33.33333
-32.758962626313156,-8.722618101550776,33.33333
-32.73519400150075,-8.71622911605803,33.33333
-32.71142537668834,-8.709840130565283,33.33333
-32.687656751875934,-8.703451145072536,33.33333
-32.66388812706353,-8.69706215957979,33.33333
-32.640119502251125,-8.690673174087044,33.33333
-32.61635087743872,-8.684284188594297,33.33333
-32.592582252626315,-8.677895203101551,33.33333
-32.5688136278139,-8.671506217608805,33.33333
-32.5450450030015,-8.665117232116058,33.33333
-32.52127637818909,-8.658728246623312,33.33333
-32.49750775337669,-8.652339261130566,33.33333
-32.47373912856428,-8.64595027563782,33.33333
-32.44997050375187,-8.639561290145073,33.33333
-32.426201878939466,-8.633172304652327,33.33333
-32.40243325412706,-8.62678331915958,33.33333
-32.378664629314656,-8.620394333666834,33.33333
-32.35489600450225,-8.614005348174087,33.33333
-32.331127379689846,-8.607616362681341,33.33333
-32.307358754877434,-8.601227377188595,33.33333
-32.28359013006503,-8.594838391695848,33.33333
-32.259821505252624,-8.588449406203102,33.33333
-32.23605288044022,-8.582060420710356,33.33333
-32.212284255627814,-8.57567143521761,33.33333
-32.1885156308154,-8.569282449724863,33.33333
-32.164747006003,-8.562893464232117,33.33333
-32.14097838119059,-8.55650447873937,33.33333
-32.11720975637819,-8.550115493246624,33.33333
-32.09344113156578,-8.543726507753878,33.33333
-32.06967250675338,-8.537337522261131,33.33333
-32.045903881940966,-8.530948536768385,33.33333
-32.02213525712856,-8.524559551275638,33.33333
-31.998366632316156,-8.518170565782892,33.33333
-31.97459800750375,-8.511781580290146,33.33333
-31.950829382691342,-8.5053925947974,33.33333
-31.927060757878937,-8.499003609304653,33.33333
-31.903292133066532,-8.492614623811907,33.33333
-31.879523508254124,-8.48622563831916,33.33333
-31.85575488344172,-8.479836652826414,33.33333
-31.831986258629314,-8.473447667333668,33.33333
-31.808217633816906,-8.467058681840921,33.33333
-31.7844490090045,-8.460669696348175,33.33333
-31.760680384192096,-8.454280710855429,33.33333
-31.736911759379687,-8.447891725362682,33.33333
-31.713143134567282,-8.441502739869936,33.33333
-31.689374509754874,-8.43511375437719,33.33333
-31.66560588494247,-8.428724768884443,33.33333
-31.641837260130064,-8.422335783391697,33.33333
-31.618068635317655,-8.41594679789895,33.33333
-31.59430001050525,-8.409557812406202,33.33333
-31.570531385692846,-8.403168826913458,33.33333
-31.546762760880437,-8.39677984142071,33.33333
-31.522994136068032,-8.390390855927963,33.33333
-31.499225511255627,-8.384001870435217,33.33333
-31.47545688644322,-8.37761288494247,33.33333
-31.451688261630814,-8.371223899449724,33.33333
-31.42791963681841,-8.364834913956978,33.33333
-31.404151012006,-8.358445928464231,33.33333
-31.380382387193595,-8.352056942971485,33.33333
-31.356613762381187,-8.345667957478739,33.33333
-31.332845137568782,-8.339278971985992,33.33333
-31.309076512756377,-8.332889986493246,33.33333
-31.28530788794397,-8.3265010010005,33.33333
-31.261539263131564,-8.320112015507753,33.33333
-31.23777063831916,-8.313723030015007,33.33333
-31.21400201350675,-8.30733404452226,33.33333
-31.190233388694345,-8.300945059029514,33.33333
-31.16646476388194,-8.294556073536768,33.33333
-31.142696139069532,-8.288167088044021,33.33333
-31.118927514257127,-8.281778102551275,33.33333
-31.095158889444722,-8.275389117058529,33.33333
-31.071390264632313,-8.269000131565782,33.33333
-31.04762163981991,-8.262611146073036,33.33333
-31.023853015007504,-8.25622216058029,33.33333
-31.000084390195095,-8.249833175087543,33.33333
-30.97631576538269,-8.243444189594797,33.33333
-30.95254714057028,-8.23705520410205,33.33333
-30.928778515757877,-8.230666218609304,33.33333
-30.905009890945472,-8.224277233116558,33.33333
-30.881241266133063,-8.217888247623812,33.33333
-30.85747264132066,-8.211499262131065,33.33333
-30.833704016508253,-8.205110276638319,33.33333
-30.809935391695845,-8.198721291145572,33.33333
-30.78616676688344,-8.192332305652826,33.33333
-30.762398142071035,-8.18594332016008,33.33333
-30.738629517258627,-8.179554334667333,33.33333
-30.71486089244622,-8.173165349174587,33.33333
-30.691092267633813,-8.16677636368184,33.33333
-30.667323642821408,-8.160387378189094,33.33333
-30.643555018009003,-8.153998392696348,33.33333
-30.619786393196595,-8.147609407203602,33.33333
-30.59601776838419,-8.141220421710855,33.33333
-30.572249143571785,-8.134831436218109,33.33333
-30.548480518759376,-8.128442450725363,33.33333
-30.52471189394697,-8.122053465232616,33.33333
-30.500943269134567,-8.11566447973987,33.33333
-30.477174644322158,-8.109275494247123,33.33333
-30.453406019509753,-8.102886508754377,33.33333
-30.429637394697348,-8.09649752326163,33.33333
-30.40586876988494,-8.090108537768884,33.33333
-30.382100145072535,-8.083719552276138,33.33333
-30.35833152026013,-8.077330566783392,33.33333
-30.33456289544772,-8.070941581290645,33.33333
-30.310794270635316,-8.064552595797899,33.33333
-30.287025645822908,-8.058163610305153,33.33333
-30.263257021010503,-8.051774624812406,33.33333
-30.239488396198098,-8.04538563931966,33.33333
-30.21571977138569,-8.038996653826914,33.33333
-30.191951146573285,-8.032607668334167,33.33333
-30.16818252176088,-8.02621868284142,33.33333
-30.14441389694847,-8.019829697348674,33.33333
-30.120645272136066,-8.013440711855928,33.33333
-30.09687664732366,-8.007051726363182,33.33333
-30.073108022511253,-8.000662740870435,33.33333
