x,y
-4.32746,-1.16798
-4.35644,-1.17572
-4.38543,-1.18345
-4.41441,-1.19122
-4.44338,-1.19901
-4.47233,-1.20684
-4.50129,-1.21469
-4.53024,-1.22255
-4.5592,-1.23039
-4.58817,-1.23819
-4.61714,-1.24596
-4.64611,-1.25375
-4.67507,-1.26159
-4.70403,-1.26944
-4.733,-1.27724
-4.76197,-1.28502
-4.79096,-1.29274
-4.81995,-1.30046
-4.84893,-1.30823
-4.8779,-1.31601
-4.90686,-1.32385
-4.93581,-1.33169
-4.96478,-1.3395
-4.99375,-1.34728
-5.02274,-1.35502
-5.05173,-1.36275
-5.08071,-1.37047
-5.1097,-1.3782
-5.13867,-1.38599
-5.16764,-1.39378
-5.19663,-1.40151
-5.22562,-1.40924
-5.25459,-1.41701
-5.28356,-1.4248
-5.31252,-1.43264
-5.34148,-1.44049
-5.37043,-1.44834
-5.39939,-1.45618
-5.42836,-1.46396
-5.45734,-1.47173
-5.4863,-1.47955
-5.51526,-1.48738
-5.54422,-1.49521
-5.57318,-1.50305
-5.60214,-1.51087
-5.63111,-1.51866
-5.66009,-1.52642
-5.68908,-1.53414
-5.71807,-1.54186
-5.74706,-1.54958
-5.77605,-1.5573
-5.80505,-1.56498
-5.83406,-1.57264
-5.86307,-1.58026
-5.89209,-1.58787
-5.9211,-1.59552
-5.9501,-1.6032
-5.97909,-1.61092
-6.00807,-1.61866
-6.03705,-1.62644
-6.06602,-1.63423
-6.09499,-1.64202
-6.12395,-1.64986
-6.1529,-1.65771
-6.18184,-1.66561
-6.21078,-1.67353
-6.23972,-1.68144
-6.26867,-1.6893
-6.29762,-1.69715
-6.32659,-1.70494
-6.35557,-1.71272
-6.38454,-1.72051
-6.4135,-1.72835
-6.44245,-1.7362
-6.47142,-1.74401
-6.50039,-1.7518
-6.52937,-1.75954
-6.55836,-1.76728
-6.58734,-1.77502
-6.61631,-1.78282
-6.64528,-1.79062
-6.67426,-1.79838
-6.70324,-1.80613
-6.73222,-1.81388
-6.76119,-1.82167
-6.79015,-1.82949
-6.81911,-1.83735
-6.84805,-1.84523
-6.87699,-1.85315
-6.90592,-1.86108
-6.93487,-1.86896
-6.96382,-1.87683
-6.99276,-1.88474
-7.02169,-1.89267
-7.05061,-1.90065
-7.07953,-1.90863
-7.10846,-1.91657
-7.13739,-1.92448
-7.16635,-1.93235
-7.1953,-1.94019
-7.22426,-1.94804
-7.2532,-1.95594
-7.28214,-1.96385
-7.31108,-1.97175
-7.34003,-1.97961
-7.36899,-1.98744
-7.39796,-1.99523
-7.42694,-2.003
-7.4559,-2.01083
-7.48485,-2.01867
-7.51382,-2.02647
-7.5428,-2.03425
-7.57178,-2.04199
-7.60077,-2.04971
-7.62977,-2.05738
-7.65878,-2.06505
-7.68777,-2.07276
-7.71675,-2.08049
-7.74573,-2.08828
-7.7747,-2.09606
-7.80368,-2.1038
-7.83267,-2.11153
-7.86165,-2.1193
-7.89062,-2.12709
-7.91958,-2.13493
-7.94853,-2.14277
-7.97749,-2.15063
-8.00644,-2.15847
-8.03541,-2.16626
-8.06439,-2.17404
-8.09336,-2.18182
-8.12232,-2.18966
-8.15127,-2.1975
-8.18024,-2.2053
-8.20922,-2.21308
-8.2382,-2.22081
-8.26719,-2.22853
-8.29617,-2.2363
-8.32514,-2.24409
-8.35412,-2.25187
-8.38309,-2.25966
-8.41206,-2.26744
-8.44105,-2.27516
-8.47004,-2.28288
-8.49902,-2.29064
-8.52799,-2.29841
-8.55697,-2.30619
-8.58593,-2.31401
-8.61489,-2.32185
-8.64386,-2.32964
-8.67284,-2.3374
-8.70183,-2.34512
-8.73082,-2.35284
-8.7598,-2.3606
-8.78877,-2.36838
-8.81776,-2.37612
-8.84675,-2.38383
-8.87575,-2.3915
-8.90476,-2.39916
-8.93376,-2.40682
