timestamp,car0speed,car1speed,car0car1TTC,car0car1distance,car0car1collision
2010186360,0.142650,0.142650,410.599659,117.123219,0
2050187300,0.523050,0.523050,111.954939,117.096595,0
2090212010,0.903450,0.903450,64.783309,117.039540,0
2130172852,1.283850,1.283850,45.552862,116.952052,0
2170210701,1.664250,1.664250,35.104163,116.834132,0
2210196522,2.044650,2.044650,28.535921,116.685779,0
2250184083,2.425050,2.425050,24.022156,116.506992,0
2290204417,2.805450,2.805450,20.727237,116.297772,0
2330176387,3.185850,3.185850,18.214626,116.058121,0
2370197220,3.566250,3.566250,16.233989,115.788039,0
2410188660,3.946650,3.946650,14.631191,115.487525,0
2450176830,4.327050,4.327050,13.306597,115.156578,0
2490180099,4.707450,4.707450,12.192984,114.795198,0
2530185790,5.087850,5.087850,11.242854,114.403387,0
2570171329,5.468250,5.468250,10.422090,113.981143,0
2610173030,5.848650,5.848650,9.705597,113.528467,0
2650164632,6.224964,6.224964,9.080029,113.045419,0
2690194822,6.571368,6.571368,8.562425,112.533357,0
2730203196,6.885986,6.885986,8.132164,111.994874,0
2770177457,7.171734,7.171734,7.768863,111.432394,0
2810180370,7.431261,7.431261,7.458345,110.848118,0
2850168211,7.666974,7.666974,7.189734,110.244049,0
2890164779,7.881057,7.881057,6.954803,109.622000,0
2930194946,8.075495,8.075495,6.747890,108.983621,0
2970193026,8.252091,8.252091,6.564082,108.330412,0
3010198186,8.412483,8.412483,6.399120,107.663734,0
3050165919,8.558156,8.558156,6.250504,106.984821,0
3090264098,8.690463,8.690463,6.115880,106.294797,0
3130159005,8.810628,8.810628,5.992593,105.594682,0
3170174976,8.919767,8.919767,5.879390,104.885400,0
3210171769,9.018892,9.018892,5.775258,104.167795,0
3250208083,9.087219,9.087219,5.701962,103.624590,0
3290161576,9.189247,9.189247,5.588652,102.710712,0
3330171191,9.263643,9.263643,5.504079,101.972552,0
3370159509,9.331213,9.331213,5.424544,101.228718,0
3410152878,9.392582,9.392582,5.349000,100.479730,0
3450154484,9.448320,9.448320,5.277481,99.726061,0
3490175938,9.498943,9.498943,5.209730,98.968140,0
3530262881,9.544921,9.544921,5.144628,98.206358,0
3570168328,9.586680,9.586680,5.082112,97.441069,0
3610177048,9.624607,9.624607,5.022437,96.672595,0
3650171259,9.659054,9.659054,4.964849,95.901230,0
3690180571,9.682798,9.682798,4.922519,95.320970,0
3730218885,9.718588,9.718588,4.854150,94.350874,0
3770170945,9.744411,9.744411,4.801681,93.572339,0
3810186591,9.767864,9.767864,4.750510,92.791834,0
3850165883,9.789166,9.789166,4.699905,92.009543,0
3890151552,9.808512,9.808512,4.650345,91.225628,0
3930145325,9.826083,9.826083,4.602296,90.440234,0
3970158898,9.842042,9.842042,4.555154,89.653500,0
4010176363,9.856537,9.856537,4.508230,88.865549,0
4050151327,9.869701,9.869701,4.461972,88.076493,0
4090143382,9.881658,9.881658,4.416860,87.286432,0
4130143990,9.892517,9.892517,4.372331,86.495459,0
4170142119,9.902380,9.902380,4.327739,85.703660,0
4210146433,9.911338,9.911338,4.283550,84.911110,0
4250146100,9.919474,9.919474,4.240258,84.117873,0
