timestamp,car0speed,car1speed,car0car1TTC,car0car1distance,car0car1collision
1723656356.174153,0.047550,0.047550,1231.818970,117.125120,0
1723656356.214147,0.427950,0.427950,136.845481,117.106104,0
1723656356.254073,0.808350,0.808350,72.415960,117.056657,0
1723656356.294121,1.188750,1.188750,49.207922,116.976777,0
1723656356.334189,1.569150,1.569150,37.242338,116.866465,0
1723656356.374213,1.949550,1.949550,29.938419,116.725720,0
1723656356.414067,2.329950,2.329950,25.013024,116.554542,0
1723656356.454134,2.615250,2.615250,22.255576,116.406186,0
1723656356.494138,3.090750,3.090750,18.785231,116.120886,0
1723656356.534110,3.471150,3.471150,16.688854,115.858412,0
1723656356.574123,3.851550,3.851550,15.002588,115.565507,0
1723656356.614089,4.231950,4.231950,13.615739,115.242167,0
1723656356.654151,4.612350,4.612350,12.454475,114.888395,0
1723656356.694107,4.992750,4.992750,11.467109,114.504192,0
1723656356.734048,5.373150,5.373150,10.616636,114.089556,0
1723656356.774117,5.753550,5.753550,9.876096,113.644489,0
1723656356.814113,6.133026,6.133026,9.226227,113.168998,0
1723656356.854140,6.487867,6.487867,8.682678,112.663949,0
1723656356.894063,6.810147,6.810147,8.232784,112.131835,0
1723656356.934087,7.102854,7.102854,7.854253,111.575139,0
1723656356.974060,7.368702,7.368702,7.531677,110.996117,0
1723656357.014105,7.610155,7.610155,7.253465,110.396819,0
1723656357.054054,7.829452,7.829452,7.010690,109.779105,0
1723656357.094127,8.028625,8.028625,6.797276,109.144662,0
1723656357.134051,8.209523,8.209523,6.608152,108.495028,0
1723656357.174130,8.373820,8.373820,6.438714,107.831596,0
1723656357.214070,8.523042,8.523042,6.286250,107.155632,0
1723656357.254140,8.658570,8.658570,6.148417,106.468287,0
1723656357.294142,8.781662,8.781662,6.022405,105.770604,0
1723656357.334134,8.893459,8.893459,5.906787,105.063532,0
1723656357.374139,8.994998,8.994998,5.800643,104.347934,0
1723656357.414100,9.087219,9.087219,5.702274,103.624592,0
1723656357.454039,9.170977,9.170977,5.610044,102.894219,0
1723656357.494097,9.247050,9.247050,5.523787,102.157457,0
1723656357.534104,9.316142,9.316142,5.443248,101.414888,0
