timestamp,car0speed,car1speed,car0car1TTC,car0car1distance,car0car1collision
3878135883,0.047550,0.047550,1231.818968,117.125120,0
3918089224,0.427950,0.427950,136.845481,117.106104,0
3958143546,0.713250,0.713250,82.082414,117.071872,0
3998102458,1.093650,1.093650,53.497662,116.999600,0
4038099603,1.569150,1.569150,37.242338,116.866465,0
4078070545,1.949550,1.949550,29.938419,116.725720,0
4118093170,2.329950,2.329950,25.013024,116.554542,0
4158087459,2.710350,2.710350,21.464765,116.352930,0
4198079461,3.090750,3.090750,18.785250,116.120886,0
4238022393,3.471150,3.471150,16.688813,115.858412,0
4278067015,3.851550,3.851550,15.002588,115.565507,0
23101479,4.231950,4.231950,13.615739,115.242167,0
63127780,4.612350,4.612350,12.454475,114.888395,0
103101000,4.992750,4.992750,11.467109,114.504192,0
143111429,5.373150,5.373150,10.616636,114.089556,0
183098734,5.753550,5.753550,9.876096,113.644489,0
223100798,6.133026,6.133026,9.226227,113.168998,0
263093423,6.487867,6.487867,8.682678,112.663949,0
303054355,6.732462,6.732462,8.337840,112.267261,0
343095878,7.102854,7.102854,7.854253,111.575139,0
383089407,7.368702,7.368702,7.531627,110.996117,0
423110754,7.610155,7.610155,7.253465,110.396819,0
463109752,7.829452,7.829452,7.010690,109.779105,0
503098175,8.028625,8.028625,6.797276,109.144662,0
543091646,8.209523,8.209523,6.608152,108.495028,0
583112493,8.373820,8.373820,6.438714,107.831596,0
623092788,8.523042,8.523042,6.286250,107.155632,0
663086002,8.658570,8.658570,6.148417,106.468287,0
703082238,8.781662,8.781662,6.022405,105.770604,0
743076775,8.893459,8.893459,5.906798,105.063532,0
783070015,8.994998,8.994998,5.800586,104.347933,0
823095133,9.064989,9.064989,5.725976,103.806112,0
863167210,9.170977,9.170977,5.609803,102.894213,0
903030324,9.247050,9.247050,5.523834,102.157446,0
943066080,9.316142,9.316142,5.443325,101.414877,0
983066478,9.378894,9.378894,5.366826,100.667039,0
1023062164,9.435888,9.435888,5.294391,99.914414,0
1063058407,9.487652,9.487652,5.225889,99.157441,0
1103089972,9.523333,9.523333,5.176368,98.587101,0
1143060274,9.577366,9.577366,5.097027,97.632014,0
1183065150,9.616148,9.616148,5.036752,96.864251,0
1223076957,9.651371,9.651371,4.978771,96.093530,0
1263084108,9.675650,9.675650,4.936165,95.513715,0
1303061803,9.712417,9.712417,4.867191,94.544280,0
1343063575,9.738806,9.738806,4.814319,93.766216,0
1383126693,9.756996,9.756996,4.775741,93.181336,0
1423063155,9.784542,9.784542,4.712128,92.204236,0
1463052982,9.804313,9.804313,4.662363,91.420673,0
1503053009,9.822270,9.822270,4.613960,90.635600,0
1543058268,9.834647,9.834647,4.578501,90.045889,0
1583063084,9.849820,9.849820,4.531391,89.258502,0
1623056957,9.866844,9.866844,4.473213,88.272654,0
1663046107,9.879063,9.879063,4.427889,87.482811,0
1703069994,9.887485,9.887485,4.394468,86.889812,0
1743075866,9.900239,9.900239,4.338659,85.900417,0
1783095810,9.909394,9.909394,4.294340,85.108029,0
1823038052,9.917708,9.917708,4.250886,84.314941,0
1863066881,9.923439,9.923439,4.218744,83.719705,0
1903057332,9.932117,9.932117,4.164921,82.726920,0
1943069754,9.938346,9.938346,4.122036,81.932100,0
1983059804,9.944004,9.944004,4.079866,81.136803,0
2023039645,9.949142,9.949142,4.038114,80.341074,0
2063039221,9.953809,9.953809,3.996042,79.544956,0
2103042715,9.958048,9.958048,3.954042,78.748483,0
2143035944,9.960969,9.960969,3.922908,78.150912,0
2183128680,9.965394,9.965394,3.871670,77.154590,0
2223035749,9.968569,9.968569,3.830311,76.357232,0
2263031610,9.971453,9.971453,3.788868,75.559633,0
2303034251,9.974073,9.974073,3.747876,74.761812,0
2343027057,9.976452,9.976452,3.707385,73.963789,0
2383032407,9.978613,9.978613,3.666526,73.165587,0
2423033666,9.980575,9.980575,3.625491,72.367221,0
2463007527,9.981928,9.981928,3.594919,71.768346,0
2503010273,9.983586,9.983586,3.554665,70.969725,0
2543027452,9.985438,9.985438,3.504149,69.971273,0
2583025560,9.986775,9.986775,3.463326,69.172387,0
2623016812,9.987988,9.987988,3.422795,68.373398,0
2663053228,9.989090,9.989090,3.382759,67.574315,0
2703015600,9.990091,9.990091,3.342488,66.775148,0
2743021645,9.991001,9.991001,3.301911,65.975906,0
2783033244,9.991627,9.991627,3.271564,65.376429,0
2823087433,9.992577,9.992577,3.221459,64.377218,0
2863013743,9.993258,9.993258,3.181474,63.577785,0
2903006878,9.993876,9.993876,3.141027,62.778303,0
2942999415,9.994438,9.994438,3.100680,61.978773,0
2982999111,9.994949,9.994949,3.060742,61.179197,0
3023006451,9.995412,9.995412,3.020773,60.379583,0
3063010326,9.995833,9.995833,2.980438,59.579935,0
3103025880,9.996123,9.996123,2.950179,58.980178,0
3143015761,9.996563,9.996563,2.900210,57.980544,0
3182987348,9.996878,9.996878,2.860338,57.180807,0
3222995291,9.997165,9.997165,2.820086,56.381048,0
3263006405,9.997425,9.997425,2.779794,55.581268,0
3303025193,9.997604,9.997604,2.749778,54.981418,0
3342998739,9.997876,9.997876,2.700015,53.981644,0
3383001621,9.998071,9.998071,2.659896,53.181807,0
3422988777,9.998248,9.998248,2.619580,52.381957,0
3463035865,9.998408,9.998408,2.579602,51.582091,0
3503016048,9.998519,9.998519,2.549756,50.982184,0
3542981054,9.998687,9.998687,2.499626,49.982324,0
3582977089,9.998808,9.998808,2.459426,49.182426,0
3622944648,9.998917,9.998891,2.424434,48.482507,0
3662945228,9.998992,9.998992,2.389660,47.782581,0
3702986307,9.999085,9.999085,2.349598,46.982659,0
3742970205,9.999169,9.999169,2.309381,46.182732,0
3782979499,9.999263,9.999263,2.259336,45.182813,0
3822950731,9.999331,9.999315,2.224533,44.482862,0
3862995016,9.999392,9.999392,2.179439,43.582921,0
3902981562,9.999435,9.999435,2.149306,42.982957,0
3942962489,9.999499,9.999499,2.099347,41.983011,0
3982962347,9.999545,9.999545,2.059514,41.183050,0
4022996384,9.999576,9.999576,2.029457,40.583078,0
