timestamp,car0speed,car1speed,car0car1TTC,car0car1distance,car0car1collision
1723656521.762490,0.237750,0.237750,246.351335,117.119415,0
1723656521.802433,0.618150,0.618150,94.721740,117.085185,0
1723656521.842467,0.998550,0.998550,58.603622,117.020521,0
1723656521.882446,1.378950,1.378950,42.401315,116.925425,0
1723656521.922507,1.759350,1.759350,33.196647,116.799897,0
1723656521.962476,2.139750,2.139750,27.257682,116.643935,0
1723656522.002471,2.520150,2.520150,23.105722,116.457540,0
1723656522.042449,2.900550,2.900550,20.037766,116.240712,0
1723656522.082433,3.280950,3.280950,17.676825,115.993453,0
1723656522.122457,3.661350,3.661350,15.802483,115.715764,0
1723656522.162449,4.041750,4.041750,14.276998,115.407641,0
1723656522.202468,4.422150,4.422150,13.010539,115.069085,0
1723656522.242461,4.802550,4.802550,11.941665,114.700098,0
1723656522.282512,5.182950,5.182950,11.026624,114.300678,0
1723656522.322468,5.563350,5.563350,10.234041,113.870826,0
1723656522.362491,5.943750,5.943750,9.540386,113.410543,0
1723656522.402487,6.314715,6.314715,8.941024,112.920022,0
1723656522.442517,6.652884,6.652884,8.447611,112.401114,0
1723656522.482483,6.960022,6.960022,8.035684,111.856414,0
1723656522.522486,7.238976,7.238976,7.686751,111.288286,0
1723656522.562547,7.492333,7.492333,7.387674,110.698883,0
1723656522.602464,7.722441,7.722441,7.128069,110.090155,0
1723656522.642467,7.931434,7.931434,6.900635,109.463875,0
1723656522.682473,8.121250,8.121250,6.700018,108.821654,0
1723656522.722481,8.293648,8.293648,6.521169,108.164955,0
1723656522.762533,8.450226,8.450226,6.360499,107.495106,0
1723656522.802493,8.592436,8.592436,6.215693,106.813314,0
1723656522.842515,8.721597,8.721597,6.084052,106.120676,0
1723656522.882490,8.838906,8.838906,5.963352,105.418186,0
1723656522.922536,8.945450,8.945450,5.852594,104.706748,0
1723656522.962486,9.042217,9.042217,5.750426,103.987184,0
1723656523.002488,9.130105,9.130105,5.655077,103.260239,0
1723656523.042488,9.209929,9.209929,5.566097,102.526590,0
1723656523.082483,9.282427,9.282427,5.483069,101.786852,0
1723656523.122513,9.348273,9.348273,5.404578,101.041586,0
1723656523.162491,9.408077,9.408077,5.330092,100.291297,0
1723656523.202487,9.462393,9.462393,5.259716,99.536445,0
1723656523.242493,9.511725,9.511725,5.192718,98.777451,0
1723656523.282513,9.556530,9.556530,5.128252,98.014695,0
1723656523.322510,9.597223,9.597223,5.066522,97.248520,0
1723656523.362502,9.634183,9.634183,5.007581,96.479243,0
1723656523.402505,9.667751,9.667751,4.950277,95.707148,0
1723656523.442513,9.698239,9.698239,4.894424,94.932493,0
1723656523.482502,9.725929,9.725929,4.840483,94.155512,0
1723656523.522501,9.751078,9.751078,4.788554,93.376417,0
1723656523.562504,9.773920,9.773920,4.737452,92.595405,0
1723656523.602485,9.794665,9.794665,4.687052,91.812652,0
1723656523.642511,9.813507,9.813507,4.637923,91.028317,0
